ADM3_EN,ADM3_PCODE,ADM2_EN,ADM2_PCODE,ADM1_EN,ADM1_PCODE,ADM0_EN,ADM0_PCODE,T_TL,M_TL,F_TL,T_00_04,T_05_09,T_10_14,T_15_17,T_18_19,T_20_24,T_25_29,T_30_34,T_35_39,T_40_44,T_45_49,T_50_54,T_55_59,T_60_64,T_65Plus,M_00_04,M_05_09,M_10_14,M_15_17,M_18_19,M_20_24,M_25_29,M_30_34,M_35_39,M_40_44,M_45_49,M_50_54,M_55_59,M_60_64,M_65Plus,F_00_04,F_05_09,F_10_14,F_15_17,F_18_19,F_20_24,F_25_29,F_30_34,F_35_39,F_40_44,F_45_49,F_50_54,F_55_59,F_60_64,F_65Plus
Mehale Meda town,ET030597,North Shewa (AM),ET0305,Amhara,ET03,Ethiopia,ET,23676,11807,11869,2940,3137,3350,1952,731,1880,1888,1299,1343,963,933,775,636,581,1269,1466,1564,1670,973,365,938,941,648,670,480,465,386,317,290,633,1474,1573,1679,979,367,943,946,651,673,483,468,388,319,291,636
Ataye town,ET030598,North Shewa (AM),ET0305,Amhara,ET03,Ethiopia,ET,24974,13196,11778,3101,3309,3533,2059,771,1983,1991,1371,1416,1016,984,817,671,613,1338,1639,1748,1867,1088,408,1048,1052,724,748,537,520,432,354,324,707,1463,1561,1666,971,364,935,939,646,668,479,464,385,316,289,631
Aleme Ketma town,ET030599,North Shewa (AM),ET0305,Amhara,ET03,Ethiopia,ET,22325,11461,10864,2772,2958,3159,1841,689,1773,1780,1225,1266,908,880,730,600,548,1196,1423,1519,1621,945,354,910,914,629,650,466,452,375,308,281,614,1349,1439,1537,896,336,863,866,596,616,442,428,355,292,267,582
Bibugn,ET030601,East Gojam,ET0306,Amhara,ET03,Ethiopia,ET,103704,50800,52904,12878,13740,14672,8550,3203,8236,8268,5692,5881,4217,4087,3393,2785,2546,5557,6308,6731,7187,4188,1569,4035,4050,2788,2881,2066,2002,1662,1364,1247,2722,6569,7009,7485,4362,1634,4202,4218,2904,3000,2151,2085,1731,1421,1299,2835
Hulet Ej Enese,ET030602,East Gojam,ET0306,Amhara,ET03,Ethiopia,ET,357737,178626,179111,44423,47398,50612,29494,11048,28412,28520,19634,20288,14548,14097,11704,9607,8783,19168,22181,23667,25272,14727,5516,14187,14240,9804,10130,7264,7039,5844,4797,4386,9571,22242,23731,25341,14767,5531,14225,14279,9830,10158,7284,7058,5860,4810,4398,9597
Goncha Siso Enebse,ET030603,East Gojam,ET0306,Amhara,ET03,Ethiopia,ET,169233,83544,85689,21015,22422,23943,13953,5226,13441,13492,9288,9598,6882,6669,5537,4545,4155,9068,10374,11069,11820,6888,2580,6635,6660,4585,4738,3398,3292,2733,2244,2051,4476,10641,11353,12123,7065,2646,6805,6831,4703,4860,3485,3377,2804,2301,2104,4591
Enebse Sarmder,ET030604,East Gojam,ET0306,Amhara,ET03,Ethiopia,ET,138927,68209,70717,17252,18407,19655,11454,4290,11034,11076,7625,7879,5650,5475,4545,3731,3411,7444,8470,9037,9650,5624,2106,5417,5438,3744,3868,2774,2688,2232,1832,1675,3655,8782,9370,10005,5830,2184,5616,5638,3881,4011,2876,2787,2314,1899,1736,3789
Enarj Enawga,ET030605,East Gojam,ET0306,Amhara,ET03,Ethiopia,ET,197617,97865,99752,24540,26183,27959,16293,6103,15695,15754,10846,11207,8037,7787,6466,5307,4852,10588,12153,12967,13846,8069,3022,7773,7802,5371,5550,3980,3857,3202,2628,2403,5244,12387,13217,14113,8224,3081,7922,7952,5475,5657,4057,3931,3264,2679,2449,5345
Enemay,ET030606,East Gojam,ET0306,Amhara,ET03,Ethiopia,ET,214986,106855,108131,26696,28484,30416,17725,6639,17074,17139,11799,12193,8743,8472,7034,5773,5278,11519,13269,14158,15118,8810,3300,8487,8519,5865,6060,4346,4211,3496,2870,2624,5725,13427,14327,15298,8915,3339,8588,8620,5935,6132,4397,4261,3538,2904,2655,5794
Debay Telatgen,ET030607,East Gojam,ET0306,Amhara,ET03,Ethiopia,ET,157394,78398,78996,19545,20854,22268,12977,4861,12500,12548,8638,8926,6401,6202,5150,4227,3864,8433,9735,10387,11092,6464,2421,6226,6250,4303,4446,3188,3089,2565,2105,1925,4201,9810,10466,11176,6513,2440,6274,6298,4336,4480,3213,3113,2585,2121,1940,4233
Debre Elias,ET030608,East Gojam,ET0306,Amhara,ET03,Ethiopia,ET,105460,52656,52804,13096,13973,14920,8695,3257,8376,8407,5788,5981,4289,4156,3450,2832,2589,5651,6539,6977,7450,4341,1626,4182,4198,2890,2986,2141,2075,1723,1414,1293,2821,6557,6996,7471,4354,1631,4194,4210,2898,2995,2147,2081,1728,1418,1296,2829
Michakel,ET030609,East Gojam,ET0306,Amhara,ET03,Ethiopia,ET,130386,64170,66216,16191,17275,18447,10750,4027,10355,10395,7156,7395,5303,5138,4266,3501,3201,6986,7968,8502,9079,5291,1982,5096,5116,3522,3639,2610,2529,2099,1723,1576,3438,8223,8773,9368,5459,2045,5259,5279,3634,3755,2693,2609,2166,1778,1626,3548
Guzamn,ET030610,East Gojam,ET0306,Amhara,ET03,Ethiopia,ET,160853,79813,81040,19974,21312,22757,13262,4968,12775,12824,8828,9122,6542,6339,5263,4320,3949,8619,9911,10575,11292,6580,2465,6339,6363,4380,4526,3246,3145,2611,2143,1960,4276,10063,10737,11466,6682,2503,6436,6461,4448,4596,3296,3194,2651,2176,1990,4342
Baso Liben,ET030611,East Gojam,ET0306,Amhara,ET03,Ethiopia,ET,171033,83782,87251,21238,22661,24198,14101,5282,13584,13635,9387,9700,6956,6740,5596,4593,4199,9164,10404,11101,11853,6908,2587,6654,6679,4598,4752,3407,3302,2741,2250,2057,4489,10835,11560,12344,7194,2695,6930,6956,4789,4948,3548,3438,2855,2343,2142,4675
Awabel,ET030612,East Gojam,ET0306,Amhara,ET03,Ethiopia,ET,136376,67086,69290,16935,18069,19294,11244,4212,10831,10872,7485,7734,5546,5374,4462,3662,3348,7307,8331,8888,9491,5531,2072,5328,5348,3682,3805,2728,2644,2195,1802,1647,3594,8604,9181,9803,5713,2140,5503,5524,3803,3930,2818,2730,2267,1861,1701,3713
Dejen,ET030613,East Gojam,ET0306,Amhara,ET03,Ethiopia,ET,111673,53691,57982,13867,14796,15799,9207,3449,8869,8903,6129,6333,4542,4401,3654,2999,2742,5983,6667,7114,7596,4427,1658,4264,4280,2947,3045,2184,2116,1757,1442,1318,2877,7200,7682,8203,4780,1791,4605,4622,3182,3288,2358,2285,1897,1557,1424,3107
Shebel Bernta,ET030614,East Gojam,ET0306,Amhara,ET03,Ethiopia,ET,127994,62435,65559,15894,16958,18109,10553,3953,10165,10204,7025,7259,5205,5044,4188,3437,3143,6858,7753,8272,8833,5148,1928,4959,4977,3427,3541,2539,2460,2043,1677,1533,3345,8141,8686,9275,5405,2025,5207,5227,3598,3718,2666,2583,2145,1761,1610,3513
Debre Markos town,ET030615,East Gojam,ET0306,Amhara,ET03,Ethiopia,ET,133810,66204,67606,16616,17729,18931,11032,4132,10627,10668,7344,7589,5442,5273,4378,3593,3285,7170,8221,8772,9367,5458,2045,5258,5278,3633,3755,2692,2609,2166,1778,1625,3547,8395,8957,9565,5574,2088,5369,5390,3710,3834,2749,2664,2212,1816,1660,3622
Senan,ET030616,East Gojam,ET0306,Amhara,ET03,Ethiopia,ET,122286,60888,61398,15185,16202,17301,10082,3776,9712,9749,6711,6935,4973,4819,4001,3284,3002,6552,7561,8067,8614,5020,1880,4836,4854,3342,3453,2476,2399,1992,1635,1495,3262,7624,8135,8687,5062,1896,4876,4895,3370,3482,2497,2419,2009,1649,1507,3290
Aneded,ET030617,East Gojam,ET0306,Amhara,ET03,Ethiopia,ET,110429,54607,55822,13713,14631,15623,9105,3410,8770,8804,6061,6263,4491,4352,3613,2966,2711,5917,6781,7235,7726,4502,1686,4337,4353,2997,3097,2221,2152,1787,1466,1341,2926,6932,7396,7898,4602,1724,4433,4450,3064,3166,2270,2200,1826,1499,1371,2991
Amanuel town,ET030618,East Gojam,ET0306,Amhara,ET03,Ethiopia,ET,18713,9656,9057,2324,2479,2648,1543,578,1486,1492,1027,1061,761,737,612,503,459,1003,1199,1279,1366,796,298,767,770,530,548,393,381,316,259,237,517,1125,1200,1281,747,280,719,722,497,514,368,357,296,243,222,485
Sedae,ET030619,East Gojam,ET0306,Amhara,ET03,Ethiopia,ET,46619,23079,23541,5789,6177,6596,3844,1440,3703,3717,2559,2644,1896,1837,1525,1252,1145,2498,2866,3058,3265,1903,713,1833,1840,1267,1309,939,909,755,620,567,1237,2923,3119,3331,1941,727,1870,1877,1292,1335,957,928,770,632,578,1261
Gundwoin town,ET030620,East Gojam,ET0306,Amhara,ET03,Ethiopia,ET,16485,8472,8013,2047,2184,2332,1359,509,1309,1314,905,935,670,650,539,443,405,883,1052,1122,1199,698,262,673,675,465,480,345,334,277,228,208,454,995,1062,1134,661,247,636,639,440,454,326,316,262,215,197,429
Debrework town,ET030621,East Gojam,ET0306,Amhara,ET03,Ethiopia,ET,14865,7029,7836,1846,1970,2103,1226,459,1181,1185,816,843,605,586,486,399,365,796,873,931,994,580,217,558,560,386,399,286,277,230,189,173,377,973,1038,1109,646,242,622,625,430,444,319,309,256,210,192,420
Lumame town,ET030622,East Gojam,ET0306,Amhara,ET03,Ethiopia,ET,19833,10295,9538,2463,2628,2806,1635,612,1575,1581,1089,1125,807,782,649,533,487,1063,1278,1364,1457,849,318,818,821,565,584,419,406,337,276,253,552,1184,1264,1349,786,295,758,760,523,541,388,376,312,256,234,511
Merto Lemariyam town,ET030623,East Gojam,ET0306,Amhara,ET03,Ethiopia,ET,26264,13258,13006,3261,3480,3716,2165,811,2086,2094,1441,1490,1068,1035,859,705,645,1407,1646,1757,1876,1093,409,1053,1057,728,752,539,522,434,356,326,710,1615,1723,1840,1072,402,1033,1037,714,738,529,513,426,349,319,697
Mota Town,ET030694,East Gojam,ET0306,Amhara,ET03,Ethiopia,ET,56156,29496,26660,6973,7440,7945,4630,1734,4460,4477,3082,3185,2284,2213,1837,1508,1379,3009,3663,3908,4173,2432,911,2343,2351,1619,1673,1200,1162,965,792,724,1580,3311,3532,3772,2198,823,2117,2125,1463,1512,1084,1051,872,716,655,1428
Dejen town,ET030698,East Gojam,ET0306,Amhara,ET03,Ethiopia,ET,18628,9220,9408,2313,2468,2635,1536,575,1479,1485,1022,1056,758,734,609,500,457,998,1145,1222,1304,760,285,732,735,506,523,375,363,302,248,226,494,1168,1247,1331,776,291,747,750,516,534,383,371,308,253,231,504
Bechena Town,ET030699,East Gojam,ET0306,Amhara,ET03,Ethiopia,ET,34739,17831,16908,4314,4603,4915,2864,1073,2759,2769,1907,1970,1413,1369,1137,933,853,1861,2214,2362,2523,1470,551,1416,1422,979,1011,725,703,583,479,438,955,2100,2240,2392,1394,522,1343,1348,928,959,688,666,553,454,415,906
Semen Achefer,ET030701,West Gojam,ET0307,Amhara,ET03,Ethiopia,ET,232695,118542,114153,28896,30831,32922,19185,7186,18481,18551,12771,13197,9463,9170,7613,6249,5713,12468,14720,15706,16771,9773,3661,9415,9450,6506,6723,4821,4671,3878,3183,2910,6352,14175,15125,16150,9412,3525,9066,9101,6265,6474,4642,4498,3735,3066,2803,6116
Bahirdar Zuria,ET030702,West Gojam,ET0307,Amhara,ET03,Ethiopia,ET,217799,110939,106860,27046,28857,30814,17957,6726,17298,17363,11954,12352,8857,8583,7126,5849,5347,11670,13776,14699,15696,9147,3426,8811,8844,6089,6292,4512,4372,3630,2979,2724,5944,13270,14158,15119,8810,3300,8487,8519,5865,6060,4346,4211,3496,2870,2624,5726
Yilmana Densa,ET030703,West Gojam,ET0307,Amhara,ET03,Ethiopia,ET,274383,136660,137723,34072,36354,38820,22622,8474,21792,21874,15059,15561,11159,10813,8977,7369,6737,14702,16970,18107,19335,11267,4220,10854,10895,7500,7750,5558,5385,4471,3670,3355,7322,17102,18247,19485,11355,4253,10938,10980,7559,7811,5601,5427,4506,3699,3381,7379
Mecha,ET030704,West Gojam,ET0307,Amhara,ET03,Ethiopia,ET,53633,26923,26710,6660,7106,7588,4422,1656,4260,4276,2944,3042,2181,2113,1755,1440,1317,2874,3343,3567,3809,2220,831,2138,2146,1478,1527,1095,1061,881,723,661,1443,3317,3539,3779,2202,825,2121,2129,1466,1515,1086,1053,874,717,656,1431
Sekela,ET030705,West Gojam,ET0307,Amhara,ET03,Ethiopia,ET,171792,85256,86536,21333,22761,24305,14164,5305,13644,13696,9429,9743,6986,6770,5621,4613,4218,9205,10587,11296,12062,7029,2633,6771,6797,4679,4835,3467,3360,2789,2290,2093,4568,10746,11465,12243,7135,2672,6873,6899,4749,4908,3519,3410,2831,2324,2125,4637
Quarit,ET030706,West Gojam,ET0307,Amhara,ET03,Ethiopia,ET,141364,69792,71572,17554,18730,20000,11655,4366,11227,11270,7759,8017,5749,5571,4625,3796,3471,7574,8667,9247,9874,5754,2155,5543,5564,3830,3958,2838,2750,2283,1874,1714,3739,8888,9483,10126,5901,2210,5684,5706,3928,4059,2911,2820,2342,1922,1757,3835
Dega Damot,ET030707,West Gojam,ET0307,Amhara,ET03,Ethiopia,ET,188025,92451,95574,23349,24912,26602,15502,5807,14933,14990,10319,10664,7647,7409,6152,5049,4616,10074,11480,12249,13080,7622,2855,7343,7370,5074,5243,3760,3643,3025,2483,2270,4954,11868,12663,13522,7880,2952,7591,7619,5245,5420,3887,3766,3127,2567,2347,5121
Dembecha,ET030708,West Gojam,ET0307,Amhara,ET03,Ethiopia,ET,142768,70739,72029,17729,18916,20199,11771,4409,11339,11382,7836,8097,5806,5626,4671,3834,3505,7650,8784,9372,10008,5832,2185,5618,5639,3882,4012,2877,2788,2314,1900,1737,3790,8944,9543,10191,5939,2224,5721,5742,3953,4085,2929,2838,2357,1934,1768,3859
Jabi Tehnan,ET030709,West Gojam,ET0307,Amhara,ET03,Ethiopia,ET,215894,107436,108458,26809,28605,30545,17800,6667,17146,17212,11849,12244,8780,8508,7064,5798,5301,11568,13341,14235,15200,8858,3318,8533,8565,5896,6093,4369,4234,3515,2885,2638,5756,13468,14370,15345,8942,3349,8614,8647,5953,6151,4411,4274,3549,2913,2663,5811
Bure (AM),ET030710,West Gojam,ET0307,Amhara,ET03,Ethiopia,ET,91327,43840,47487,11341,12100,12921,7530,2820,7253,7281,5012,5179,3714,3599,2988,2453,2242,4893,5444,5809,6202,3614,1354,3482,3495,2406,2486,1783,1728,1434,1177,1076,2349,5897,6292,6718,3915,1467,3771,3786,2606,2693,1931,1871,1554,1275,1166,2544
Wemberma,ET030711,West Gojam,ET0307,Amhara,ET03,Ethiopia,ET,107233,54309,52924,13316,14208,15171,8841,3312,8517,8549,5885,6082,4361,4226,3508,2880,2633,5746,6744,7196,7684,4478,1677,4313,4330,2981,3080,2209,2140,1777,1458,1333,2910,6572,7012,7488,4363,1634,4203,4219,2905,3001,2152,2086,1732,1421,1299,2836
Bahir Dar town,ET030712,West Gojam,ET0307,Amhara,ET03,Ethiopia,ET,332856,165864,166992,41333,44101,47092,27443,10279,26436,26536,18268,18877,13537,13117,10890,8939,8172,17835,20597,21976,23466,13675,5122,13173,13223,9103,9407,6745,6536,5427,4454,4072,8887,20737,22125,23626,13768,5157,13263,13313,9165,9471,6791,6581,5464,4485,4100,8947
Debub Achefer,ET030713,West Gojam,ET0307,Amhara,ET03,Ethiopia,ET,148676,75284,73392,18462,19699,21035,12258,4591,11808,11853,8160,8432,6046,5859,4864,3993,3650,7966,9349,9975,10651,6207,2325,5979,6002,4132,4270,3062,2967,2463,2022,1848,4034,9114,9724,10383,6051,2267,5829,5851,4028,4162,2985,2892,2401,1971,1802,3932
Finote Selam town,ET030714,West Gojam,ET0307,Amhara,ET03,Ethiopia,ET,55567,28841,26726,6900,7362,7862,4581,1716,4413,4430,3050,3151,2260,2190,1818,1492,1364,2977,3581,3821,4080,2378,891,2291,2299,1583,1636,1173,1137,944,775,708,1545,3319,3541,3781,2203,825,2123,2131,1467,1516,1087,1053,874,718,656,1432
Debub Mecha,ET030715,West Gojam,ET0307,Amhara,ET03,Ethiopia,ET,106120,53270,52850,13178,14060,15014,8749,3277,8428,8460,5824,6018,4316,4182,3472,2850,2605,5686,6615,7058,7537,4392,1645,4231,4247,2924,3021,2166,2099,1743,1431,1308,2854,6563,7002,7477,4357,1632,4197,4213,2901,2997,2149,2083,1729,1419,1298,2832
Shendi town,ET030716,West Gojam,ET0307,Amhara,ET03,Ethiopia,ET,22719,11379,11340,2821,3010,3214,1873,702,1804,1811,1247,1288,924,895,743,610,558,1217,1413,1508,1610,938,351,904,907,625,645,463,448,372,306,279,610,1408,1502,1604,935,350,901,904,622,643,461,447,371,305,278,608
Denbecha town,ET030717,West Gojam,ET0307,Amhara,ET03,Ethiopia,ET,28365,15039,13326,3522,3758,4013,2339,876,2253,2261,1557,1609,1154,1118,928,762,696,1520,1868,1993,2128,1240,464,1194,1199,825,853,612,593,492,404,369,806,1655,1766,1885,1099,412,1058,1062,731,756,542,525,436,358,327,714
Gonje,ET030718,West Gojam,ET0307,Amhara,ET03,Ethiopia,ET,69567,34883,34683,8639,9217,9842,5736,2148,5525,5546,3818,3945,2829,2741,2276,1868,1708,3727,4332,4622,4935,2876,1077,2770,2781,1915,1978,1419,1375,1141,937,856,1869,4307,4595,4907,2860,1071,2755,2765,1904,1967,1411,1367,1135,931,852,1858
Dure Bete,ET030719,West Gojam,ET0307,Amhara,ET03,Ethiopia,ET,25220,12596,12624,3132,3341,3568,2079,779,2003,2011,1384,1430,1026,994,825,677,619,1351,1564,1669,1782,1039,389,1000,1004,691,714,512,496,412,338,309,675,1568,1673,1786,1041,390,1003,1006,693,716,513,497,413,339,310,676
Jiga town,ET030720,West Gojam,ET0307,Amhara,ET03,Ethiopia,ET,9875,4905,4970,1226,1308,1397,814,305,784,787,542,560,402,389,323,265,242,529,609,650,694,404,151,390,391,269,278,199,193,160,132,120,263,617,658,703,410,153,395,396,273,282,202,196,163,133,122,266
Merawi town,ET030797,West Gojam,ET0307,Amhara,ET03,Ethiopia,ET,40094,21312,18782,4979,5312,5672,3306,1238,3184,3196,2200,2274,1631,1580,1312,1077,984,2148,2646,2824,3015,1757,658,1693,1699,1170,1209,867,840,697,572,523,1142,2332,2489,2657,1549,580,1492,1497,1031,1065,764,740,615,504,461,1006
Bure town,ET030798,West Gojam,ET0307,Amhara,ET03,Ethiopia,ET,43778,22898,20880,5436,5800,6194,3609,1352,3477,3490,2403,2483,1780,1725,1432,1176,1075,2346,2843,3034,3240,1888,707,1819,1825,1257,1299,931,902,749,615,562,1227,2593,2766,2954,1721,645,1658,1665,1146,1184,849,823,683,561,513,1119
Adete town,ET030799,West Gojam,ET0307,Amhara,ET03,Ethiopia,ET,41102,21274,19828,5104,5446,5815,3389,1269,3264,3277,2256,2331,1672,1620,1345,1104,1009,2202,2642,2819,3010,1754,657,1690,1696,1168,1207,865,838,696,571,522,1140,2462,2627,2805,1635,612,1575,1581,1088,1125,806,781,649,532,487,1062
Zequala,ET030801,Wag Hamra,ET0308,Amhara,ET03,Ethiopia,ET,55687,28345,27342,6915,7378,7879,4591,1720,4423,4439,3056,3158,2265,2194,1822,1495,1367,2984,3520,3756,4010,2337,875,2251,2260,1556,1608,1153,1117,927,761,696,1519,3395,3623,3868,2254,844,2172,2180,1501,1551,1112,1077,895,734,671,1465
Sekota,ET030802,Wag Hamra,ET0308,Amhara,ET03,Ethiopia,ET,133986,66634,67352,16638,17752,18956,11047,4138,10641,10682,7354,7599,5449,5280,4384,3598,3290,7179,8274,8829,9427,5494,2058,5292,5312,3657,3779,2710,2626,2180,1789,1636,3570,8364,8924,9529,5553,2080,5349,5369,3697,3820,2739,2654,2204,1809,1654,3609
Dehana,ET030803,Wag Hamra,ET0308,Amhara,ET03,Ethiopia,ET,125787,62579,63208,15620,16666,17796,10371,3885,9990,10028,6904,7134,5115,4957,4115,3378,3088,6740,7771,8291,8854,5159,1933,4970,4989,3435,3549,2545,2466,2047,1681,1536,3353,7849,8375,8943,5211,1952,5020,5039,3469,3585,2571,2491,2068,1697,1552,3387
Gaz Gibla,ET030804,Wag Hamra,ET0308,Amhara,ET03,Ethiopia,ET,84462,42153,42309,10488,11191,11950,6964,2608,6708,6733,4636,4790,3435,3328,2763,2268,2074,4526,5234,5585,5964,3475,1302,3348,3361,2313,2391,1714,1661,1379,1132,1035,2259,5254,5606,5986,3488,1307,3360,3373,2322,2399,1721,1667,1384,1136,1039,2267
Abergele (AM),ET030805,Wag Hamra,ET0308,Amhara,ET03,Ethiopia,ET,51482,26035,25447,6393,6821,7284,4245,1590,4089,4104,2826,2920,2094,2029,1684,1383,1264,2758,3233,3449,3683,2147,804,2068,2076,1429,1477,1059,1026,852,699,639,1395,3160,3372,3600,2098,786,2021,2029,1397,1443,1035,1003,833,683,625,1363
Sahila,ET030806,Wag Hamra,ET0308,Amhara,ET03,Ethiopia,ET,27310,13887,13423,3391,3618,3864,2252,843,2169,2177,1499,1549,1111,1076,894,733,671,1463,1724,1840,1965,1145,429,1103,1107,762,788,565,547,454,373,341,744,1667,1779,1899,1107,415,1066,1070,737,761,546,529,439,360,330,719
Sekota town,ET030807,Wag Hamra,ET0308,Amhara,ET03,Ethiopia,ET,47853,23808,24045,5942,6340,6770,3945,1478,3801,3815,2626,2714,1946,1886,1566,1285,1175,2564,2956,3154,3368,1963,735,1891,1898,1307,1350,968,938,779,639,585,1276,2986,3186,3402,1982,743,1910,1917,1320,1364,978,948,787,646,590,1288
Tsagbeji,ET030808,Wag Hamra,ET0308,Amhara,ET03,Ethiopia,ET,22756,11308,11448,2826,3015,3219,1876,703,1807,1814,1249,1291,925,897,745,611,559,1219,1404,1498,1600,932,349,898,901,621,641,460,446,370,304,278,606,1422,1517,1620,944,354,909,913,628,649,466,451,375,307,281,613
Amde Work town,ET030809,Wag Hamra,ET0308,Amhara,ET03,Ethiopia,ET,8983,4062,4921,1115,1190,1271,741,277,713,716,493,509,365,354,294,241,221,481,504,538,575,335,125,323,324,223,230,165,160,133,109,100,218,611,652,696,406,152,391,392,270,279,200,194,161,132,121,264
Dangila,ET030901,Awi,ET0309,Amhara,ET03,Ethiopia,ET,161618,81404,80214,20069,21413,22866,13325,4991,12836,12885,8870,9166,6573,6369,5288,4340,3968,8660,10109,10786,11517,6712,2514,6465,6490,4468,4617,3311,3208,2663,2186,1999,4362,9961,10628,11349,6613,2477,6371,6395,4402,4549,3262,3161,2624,2154,1969,4298
Banja,ET030902,Awi,ET0309,Amhara,ET03,Ethiopia,ET,154882,77429,77453,19233,20521,21913,12770,4783,12301,12348,8500,8784,6299,6103,5067,4159,3803,8299,9615,10259,10955,6384,2391,6149,6173,4250,4391,3149,3051,2533,2079,1901,4149,9618,10262,10958,6386,2392,6151,6175,4251,4393,3150,3052,2534,2080,1902,4150
Ankasha,ET030903,Awi,ET0309,Amhara,ET03,Ethiopia,ET,253852,126302,127550,31523,33634,35915,20929,7840,20161,20238,13932,14397,10324,10003,8305,6817,6233,13601,15684,16734,17869,10413,3900,10031,10069,6932,7163,5136,4977,4132,3392,3101,6767,15839,16900,18046,10516,3939,10130,10169,7000,7234,5187,5026,4173,3425,3132,6834
Guangua,ET030904,Awi,ET0309,Amhara,ET03,Ethiopia,ET,295840,147511,148329,36737,39197,41855,24391,9136,23496,23585,16237,16778,12031,11658,9679,7945,7264,15851,18318,19544,20870,12162,4555,11715,11760,8096,8366,5999,5813,4826,3961,3622,7904,18419,19653,20986,12229,4581,11780,11825,8141,8412,6032,5845,4853,3983,3642,7948
Fagta Lakoma,ET030905,Awi,ET0309,Amhara,ET03,Ethiopia,ET,140031,69147,70884,17389,18553,19812,11545,4324,11121,11164,7685,7942,5695,5518,4581,3761,3438,7503,8587,9162,9783,5701,2135,5492,5513,3795,3922,2812,2725,2262,1857,1698,3705,8802,9392,10029,5844,2189,5630,5651,3890,4020,2883,2793,2319,1904,1740,3798
Jawi,ET030906,Awi,ET0309,Amhara,ET03,Ethiopia,ET,101606,53026,48580,12617,13462,14375,8377,3138,8070,8100,5576,5762,4132,4004,3324,2729,2495,5444,6585,7026,7502,4372,1638,4211,4227,2910,3007,2156,2090,1735,1424,1302,2841,6033,6437,6873,4005,1500,3858,3873,2666,2755,1976,1914,1589,1305,1193,2603
Guagusa Shikudad,ET030907,Awi,ET0309,Amhara,ET03,Ethiopia,ET,89279,43832,45447,11086,11829,12631,7361,2757,7091,7118,4900,5063,3631,3518,2921,2398,2192,4784,5443,5807,6201,3614,1354,3481,3494,2406,2486,1783,1727,1434,1177,1076,2349,5644,6021,6430,3747,1404,3609,3623,2494,2577,1848,1791,1487,1220,1116,2435
Ayehu Guwagusa,ET030908,Awi,ET0309,Amhara,ET03,Ethiopia,ET,98156,47688,50468,12189,13005,13887,8093,3031,7796,7825,5387,5567,3992,3868,3211,2636,2410,5259,5922,6318,6747,3932,1473,3787,3802,2617,2705,1939,1879,1560,1281,1171,2555,6267,6687,7140,4161,1559,4008,4023,2770,2862,2052,1989,1651,1355,1239,2704
Agew Gimija Bet,ET030909,Awi,ET0309,Amhara,ET03,Ethiopia,ET,23557,12813,10744,2925,3121,3333,1942,727,1871,1878,1293,1336,958,928,771,633,578,1262,1591,1698,1813,1056,396,1018,1021,703,727,521,505,419,344,315,687,1334,1424,1520,886,332,853,857,590,609,437,423,352,289,264,576
Adiss Kidame town,ET030910,Awi,ET0309,Amhara,ET03,Ethiopia,ET,19081,9651,9430,2369,2528,2700,1573,589,1515,1521,1047,1082,776,752,624,512,468,1022,1198,1279,1365,796,298,766,769,530,547,392,380,316,259,237,517,1171,1249,1334,777,291,749,752,518,535,383,372,309,253,232,505
Tilili town,ET030911,Awi,ET0309,Amhara,ET03,Ethiopia,ET,19376,9800,9576,2406,2567,2741,1597,598,1539,1545,1063,1099,788,764,634,520,476,1038,1217,1298,1386,808,303,778,781,538,556,399,386,321,263,241,525,1189,1269,1355,790,296,761,763,526,543,389,377,313,257,235,513
Fendika town,ET030912,Awi,ET0309,Amhara,ET03,Ethiopia,ET,8242,4027,4215,1023,1092,1166,680,255,655,657,452,467,335,325,270,221,202,442,500,534,570,332,124,320,321,221,228,164,159,132,108,99,216,523,558,596,348,130,335,336,231,239,171,166,138,113,103,226
Injibara town,ET030996,Awi,ET0309,Amhara,ET03,Ethiopia,ET,45172,23445,21727,5609,5985,6391,3724,1395,3588,3601,2479,2562,1837,1780,1478,1213,1109,2420,2911,3106,3317,1933,724,1862,1869,1287,1330,953,924,767,630,576,1256,2698,2879,3074,1791,671,1726,1732,1192,1232,884,856,711,583,533,1164
Zigem,ET030997,Awi,ET0309,Amhara,ET03,Ethiopia,ET,127489,64255,63233,15831,16891,18037,10511,3937,10125,10164,6997,7230,5185,5024,4171,3424,3130,6831,7979,8513,9091,5298,1984,5103,5123,3527,3644,2613,2532,2102,1726,1578,3443,7852,8378,8946,5213,1953,5022,5041,3470,3586,2572,2492,2069,1698,1553,3388
Dangila town,ET030998,Awi,ET0309,Amhara,ET03,Ethiopia,ET,53225,27412,25813,6609,7052,7530,4388,1644,4227,4243,2921,3019,2165,2097,1741,1429,1307,2852,3404,3632,3878,2260,847,2177,2185,1504,1555,1115,1080,897,736,673,1469,3205,3420,3652,2128,797,2050,2058,1417,1464,1050,1017,845,693,634,1383
Chagni town,ET030999,Awi,ET0309,Amhara,ET03,Ethiopia,ET,49770,25076,24694,6180,6594,7041,4103,1537,3953,3968,2732,2823,2024,1961,1628,1337,1222,2667,3114,3322,3548,2067,774,1992,1999,1376,1422,1020,988,820,673,616,1344,3066,3272,3494,2036,763,1961,1969,1355,1400,1004,973,808,663,606,1323
